"bird_sp","bird_num","f_key","p_key"
c_tuber,2,uuid:3130d377-e762-42ab-b073-34907baabc27,uuid:3130d377-e762-42ab-b073-34907baabc27/intro_bird/bird_ipa[1]
h_cendre,1,uuid:3130d377-e762-42ab-b073-34907baabc27,uuid:3130d377-e762-42ab-b073-34907baabc27/intro_bird/bird_ipa[2]
h_cendre,1,uuid:3d9a432a-5aa3-492c-b2ab-a310b3807016,uuid:3d9a432a-5aa3-492c-b2ab-a310b3807016/intro_bird/bird_ipa[1]
c_tuber,39,uuid:68f36b60-305f-46e6-9f01-f77a6e3852c5,uuid:68f36b60-305f-46e6-9f01-f77a6e3852c5/intro_bird/bird_ipa[1]
cormo,2,uuid:68f36b60-305f-46e6-9f01-f77a6e3852c5,uuid:68f36b60-305f-46e6-9f01-f77a6e3852c5/intro_bird/bird_ipa[2]
h_cendre,2,uuid:68f36b60-305f-46e6-9f01-f77a6e3852c5,uuid:68f36b60-305f-46e6-9f01-f77a6e3852c5/intro_bird/bird_ipa[3]
g_aigrette,1,uuid:8deee431-d32a-46a8-8037-bf851fb90674,uuid:8deee431-d32a-46a8-8037-bf851fb90674/intro_bird/bird_ipa[1]
h_cendre,1,uuid:8deee431-d32a-46a8-8037-bf851fb90674,uuid:8deee431-d32a-46a8-8037-bf851fb90674/intro_bird/bird_ipa[2]
g_huppe,14,uuid:8deee431-d32a-46a8-8037-bf851fb90674,uuid:8deee431-d32a-46a8-8037-bf851fb90674/intro_bird/bird_ipa[3]
cormo,2,uuid:8deee431-d32a-46a8-8037-bf851fb90674,uuid:8deee431-d32a-46a8-8037-bf851fb90674/intro_bird/bird_ipa[4]
g_casta,1,uuid:8deee431-d32a-46a8-8037-bf851fb90674,uuid:8deee431-d32a-46a8-8037-bf851fb90674/intro_bird/bird_ipa[5]
g_aigrette,1,uuid:8d5a268e-b4c3-4afa-a230-3ffc4db2f732,uuid:8d5a268e-b4c3-4afa-a230-3ffc4db2f732/intro_bird/bird_ipa[1]
h_cendre,1,uuid:ec3064ee-ada3-4288-917c-4691796260f7,uuid:ec3064ee-ada3-4288-917c-4691796260f7/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:ec3064ee-ada3-4288-917c-4691796260f7,uuid:ec3064ee-ada3-4288-917c-4691796260f7/intro_bird/bird_ipa[2]
h_cendre,2,uuid:b9a03534-ada5-425d-9d7a-1fefa3c66eec,uuid:b9a03534-ada5-425d-9d7a-1fefa3c66eec/intro_bird/bird_ipa[1]
